17.12.2024;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.12.2024;Yes;dumbbell lateral raises ->ss;11;5;4;2,5;;;upright rows <-ss;11;7;5,5;6,5;;;;;;;;;;;;;;;;;;;;;;;;;
19.12.2024;Yes;barbell skullcrushers ->ss;15;11;10;10;;;close grip lower bench press <-ss;15;30;30;30;;;barbell bicep curls;15;10;10;10;;;;;;;;;;;;;;;;;;
20.12.2024;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.12.2024;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.12.2024;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.12.2024;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.12.2024;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.12.2024;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.12.2024;Yes;tricep pushups ss->;0;17,5;10,5;9,5;4,5;;bar pullups <-ss;0;7,5;7;4,5;;;;;;;;;;;;;;;;;;;;;;;;;
27.12.2024;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.12.2024;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.12.2024;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.12.2024;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.12.2024;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.01.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.01.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.01.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.01.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.01.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.01.2025;Yes;dumbbell decline bench press;15;12;13;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.01.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.01.2025;Yes;sitting shoulder press;15;5;4;5;;;hammer curls;15;5;4,5;3,5;;;;;;;;;;;;;;;;;;;;;;;;;
09.01.2025;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.01.2025;Yes;sitting overhead barbell tricep extentions;15;12;12;12;;;barbell skullcrushers ss->;15;10;8;6;;;close grip lower bench press, (2/3) reps ss<-;15;25;20;20;;;;;;;;;;;;;;;;;;
11.01.2025;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
